"","Status","Mins","oMins","dMins","oPOSS","dPOSS","ORTG","DRTG","NETRTG","PTS","dPTS","FGA","dFGA","FGM","dFGM","TPA","dTPA","TPM","dTPM","FTA","dFTA","FTM","dFTM","RIMA","dRIMA","RIMM","dRIMM","ORB","dORB","DRB","dDRB","BLK","dBLK","TO","dTO","AST","dAST","ePOSS","FG.","dFG.","TPP","dTPP","FTP","dFTP","eFG.","deFG.","TS.","dTS.","RIM.","dRIM.","MID.","dMID.","TPrate","dTPrate","RIMrate","dRIMrate","MIDrate","dMIDrate","FTrate","dFTrate","ASTrate","dASTrate","TOrate","dTOrate","BLKrate","oBLKrate","ORB.","DRB.","TimePerPoss","dTimePerPoss"
"1","ZION.WILLIAMSON On",620.584,274.466,346.118,1155,1157,115.758,92.567,23.191,1337,1071,990,995,504,414,337,334,112,101,318,199,217,142,473,404,328,227,205,171,434,345,97,48,205,231,262,201,1145.5,0.509,0.416,0.332,0.302,0.682,0.714,0.566,0.467,0.586,0.491,0.693,0.562,0.356,0.335,0.34,0.336,0.478,0.406,0.182,0.258,0.321,0.2,0.52,0.486,0.177,0.2,0.097,0.048,0.373,0.717,14.258,17.949
"2","ZION.WILLIAMSON Off",340.85,157.933,182.918,647,641,106.182,95.008,11.175,687,609,525,555,240,224,220,194,77,55,189,159,130,106,169,211,116,127,98,105,240,215,58,30,122,111,126,106,638,0.457,0.404,0.35,0.284,0.688,0.667,0.53,0.453,0.559,0.483,0.686,0.602,0.346,0.28,0.419,0.35,0.322,0.38,0.259,0.27,0.36,0.286,0.525,0.473,0.189,0.173,0.105,0.057,0.313,0.696,14.646,17.122
