"","Status","Mins","oMins","dMins","oPOSS","dPOSS","ORTG","DRTG","NETRTG","PTS","dPTS","FGA","dFGA","FGM","dFGM","TPA","dTPA","TPM","dTPM","FTA","dFTA","FTM","dFTM","RIMA","dRIMA","RIMM","dRIMM","ORB","dORB","DRB","dDRB","BLK","dBLK","TO","dTO","AST","dAST","ePOSS","FG.","dFG.","TPP","dTPP","FTP","dFTP","eFG.","deFG.","TS.","dTS.","RIM.","dRIM.","MID.","dMID.","TPrate","dTPrate","RIMrate","dRIMrate","MIDrate","dMIDrate","FTrate","dFTrate","ASTrate","dASTrate","TOrate","dTOrate","BLKrate","oBLKrate","ORB.","DRB.","TimePerPoss","dTimePerPoss"
"1","KIHEI.CLARK On",999.4,516.747,482.648,1534,1540,112.321,88.636,23.684,1723,1365,1318,1288,623,500,519,544,191,157,381,320,286,208,469,427,303,254,209,203,639,527,94,70,236,285,333,223,1524,0.473,0.388,0.368,0.289,0.751,0.65,0.545,0.449,0.575,0.474,0.646,0.595,0.391,0.281,0.394,0.422,0.356,0.332,0.25,0.246,0.289,0.248,0.535,0.446,0.154,0.185,0.073,0.053,0.284,0.759,20.212,18.804
"2","KIHEI.CLARK Off",511.783,266.8,244.987,820,815,120.854,94.11,26.743,991,767,733,702,351,269,294,304,130,88,217,204,159,141,255,233,153,130,139,128,335,271,61,38,106,123,211,111,798.5,0.479,0.383,0.442,0.289,0.733,0.691,0.568,0.446,0.593,0.48,0.6,0.558,0.37,0.309,0.401,0.433,0.348,0.332,0.251,0.235,0.296,0.291,0.601,0.413,0.129,0.151,0.087,0.052,0.339,0.724,19.522,18.036
