"","Status","Mins","oMins","dMins","oPOSS","dPOSS","ORTG","DRTG","NETRTG","PTS","dPTS","FGA","dFGA","FGM","dFGM","TPA","dTPA","TPM","dTPM","FTA","dFTA","FTM","dFTM","RIMA","dRIMA","RIMM","dRIMM","ORB","dORB","DRB","dDRB","BLK","dBLK","TO","dTO","AST","dAST","ePOSS","FG.","dFG.","TPP","dTPP","FTP","dFTP","eFG.","deFG.","TS.","dTS.","RIM.","dRIM.","MID.","dMID.","TPrate","dTPrate","RIMrate","dRIMrate","MIDrate","dMIDrate","FTrate","dFTrate","ASTrate","dASTrate","TOrate","dTOrate","BLKrate","oBLKrate","ORB.","DRB.","TimePerPoss","dTimePerPoss"
"1","RJ.BARRETT On",620.584,274.466,346.118,1155,1157,115.758,92.567,23.191,1337,1071,990,995,504,414,337,334,112,101,318,199,217,142,473,404,328,227,205,171,434,345,97,48,205,231,262,201,1145.5,0.509,0.416,0.332,0.302,0.682,0.714,0.566,0.467,0.586,0.491,0.693,0.562,0.356,0.335,0.34,0.336,0.478,0.406,0.182,0.258,0.321,0.2,0.52,0.486,0.177,0.2,0.097,0.048,0.373,0.717,14.258,17.949
"2","RJ.BARRETT Off",65.282,33.867,31.419,128,117,101.562,86.325,15.238,130,101,104,99,45,39,49,38,14,12,37,19,26,11,40,31,27,17,14,19,47,46,12,9,22,24,27,25,121.5,0.433,0.394,0.286,0.316,0.703,0.579,0.5,0.455,0.535,0.467,0.675,0.548,0.267,0.333,0.471,0.384,0.385,0.313,0.144,0.303,0.356,0.192,0.6,0.641,0.172,0.205,0.121,0.087,0.233,0.712,15.875,16.112
