"","Status","Mins","oMins","dMins","oPOSS","dPOSS","ORTG","DRTG","NETRTG","PTS","dPTS","FGA","dFGA","FGM","dFGM","TPA","dTPA","TPM","dTPM","FTA","dFTA","FTM","dFTM","RIMA","dRIMA","RIMM","dRIMM","ORB","dORB","DRB","dDRB","BLK","dBLK","TO","dTO","AST","dAST","ePOSS","FG.","dFG.","TPP","dTPP","FTP","dFTP","eFG.","deFG.","TS.","dTS.","RIM.","dRIM.","MID.","dMID.","TPrate","dTPrate","RIMrate","dRIMrate","MIDrate","dMIDrate","FTrate","dFTrate","ASTrate","dASTrate","TOrate","dTOrate","BLKrate","oBLKrate","ORB.","DRB.","TimePerPoss","dTimePerPoss"
"1","CAM.REDDISH On",620.584,274.466,346.118,1155,1157,115.758,92.567,23.191,1337,1071,990,995,504,414,337,334,112,101,318,199,217,142,473,404,328,227,205,171,434,345,97,48,205,231,262,201,1145.5,0.509,0.416,0.332,0.302,0.682,0.714,0.566,0.467,0.586,0.491,0.693,0.562,0.356,0.335,0.34,0.336,0.478,0.406,0.182,0.258,0.321,0.2,0.52,0.486,0.177,0.2,0.097,0.048,0.373,0.717,14.258,17.949
"2","CAM.REDDISH Off",268.531,121.9,146.633,501,499,120.758,87.575,33.183,605,437,462,415,234,157,156,154,42,46,143,110,95,77,218,153,155,83,96,92,182,153,57,26,67,113,126,87,494.5,0.506,0.378,0.269,0.299,0.664,0.7,0.552,0.434,0.571,0.468,0.711,0.542,0.42,0.259,0.338,0.371,0.472,0.369,0.19,0.26,0.31,0.265,0.538,0.554,0.134,0.226,0.137,0.056,0.386,0.664,14.599,17.631
